nominal_energy,spot_size
176.2,12.97946
173.8,13.01372
171.3,13.04756
168.8,13.08149
166.2,13.12484
163.7,13.16418
161.6,13.20125
159.5,13.23803
157.4,13.27514
155.3,13.31436
153.2,13.35973
151,13.40483
148.8,13.44971
146.6,13.50875
144.9,13.5483
143.3,13.59226
141.6,13.63875
139.8,13.68654
138.1,13.73719
136.4,13.78934
134.6,13.84469
132.8,13.90191
131.1,13.96442
129.199,14.03022
127.4,14.09806
125.6,14.17057
123.7,14.25022
122.4,14.30209
121.2,14.35775
119.9,14.41617
118.6,14.47929
117.3,14.53862
116,14.60763
114.7,14.6744
