SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-55.94777,-58.14263,0.0243
-50.35299,-58.14263,0.002
-44.75822,-58.14263,0.0052
-39.16344,-58.14263,0.0053
-33.56866,-58.14263,0.0028
-27.97388,-58.14263,0.0055
-22.37911,-58.14263,0.0036
-16.78433,-58.14263,0.0049
-11.18955,-58.14263,0.0043
-5.594777,-58.14263,0.0042
1.24345e-14,-58.14263,0.0043
5.594777,-58.14263,0.0041
11.18955,-58.14263,0.0042
16.78433,-58.14263,0.0043
22.37911,-58.14263,0.004
27.97388,-58.14263,0.0042
33.56866,-58.14263,0.0045
39.16344,-58.14263,0.0042
44.75822,-58.14263,0.0051
50.35299,-58.14263,0.0045
55.94777,-58.14263,0.0083
58.74516,-53.29741,0.0078
53.15038,-53.29741,0.0269
47.5556,-53.29741,0.0036
41.96083,-53.29741,0.0199
36.36605,-53.29741,0.0114
30.77127,-53.29741,0.0137
25.1765,-53.29741,0.0129
19.58172,-53.29741,0.0127
13.98694,-53.29741,0.0133
8.392165,-53.29741,0.0123
2.797389,-53.29741,0.0127
-2.797389,-53.29741,0.0134
-8.392165,-53.29741,0.0126
-13.98694,-53.29741,0.0142
-19.58172,-53.29741,0.0137
-25.1765,-53.29741,0.0133
-30.77127,-53.29741,0.0126
-36.36605,-53.29741,0.0139
-41.96083,-53.29741,0.0163
-53.15038,-53.29741,0.0392
-58.74516,-53.29741,0.0163
-55.94777,-48.45219,0.0036
-39.16344,-48.45219,0.0054
-33.56866,-48.45219,0.0021
-27.97388,-48.45219,0.0038
-22.37911,-48.45219,0.0034
-16.78433,-48.45219,0.0041
-11.18955,-48.45219,0.0043
-5.594777,-48.45219,0.0041
1.24345e-14,-48.45219,0.0044
5.594777,-48.45219,0.0038
11.18955,-48.45219,0.0046
16.78433,-48.45219,0.0043
22.37911,-48.45219,0.0038
27.97388,-48.45219,0.0038
33.56866,-48.45219,0.0026
39.16344,-48.45219,0.004
44.75822,-48.45219,0.0013
55.94777,-48.45219,0.0098
58.74516,-43.60697,0.0043
53.15038,-43.60697,0.012
47.5556,-43.60697,0.004
41.96083,-43.60697,0.0153
36.36605,-43.60697,0.0074
30.77127,-43.60697,0.0071
25.1765,-43.60697,0.0085
19.58172,-43.60697,0.0073
13.98694,-43.60697,0.0085
8.392165,-43.60697,0.0072
2.797389,-43.60697,0.0077
-2.797389,-43.60697,0.0079
-8.392165,-43.60697,0.0075
-13.98694,-43.60697,0.0089
-19.58172,-43.60697,0.0085
-25.1765,-43.60697,0.0087
-30.77127,-43.60697,0.0077
-36.36605,-43.60697,0.0072
-41.96083,-43.60697,0.0163
-47.5556,-43.60697,0.0004
-53.15038,-43.60697,0.0094
-58.74516,-43.60697,0.0037
-55.94777,-38.76175,0.0215
-50.35299,-38.76175,0.0098
-44.75822,-38.76175,0.0109
-39.16344,-38.76175,0.0071
-33.56866,-38.76175,0.0061
-27.97388,-38.76175,0.0078
-22.37911,-38.76175,0.0082
-16.78433,-38.76175,0.0076
-11.18955,-38.76175,0.0073
-5.594777,-38.76175,0.0068
1.24345e-14,-38.76175,0.0084
5.594777,-38.76175,0.0073
11.18955,-38.76175,0.008
16.78433,-38.76175,0.0072
22.37911,-38.76175,0.0075
27.97388,-38.76175,0.0082
33.56866,-38.76175,0.006
39.16344,-38.76175,0.0082
44.75822,-38.76175,0.0095
50.35299,-38.76175,0.0073
55.94777,-38.76175,0.0178
58.74516,-33.91653,0.0022
53.15038,-33.91653,0.0088
47.5556,-33.91653,0.0034
41.96083,-33.91653,0.0068
36.36605,-33.91653,0.0064
30.77127,-33.91653,0.0069
25.1765,-33.91653,0.0084
19.58172,-33.91653,0.0068
13.98694,-33.91653,0.0078
8.392165,-33.91653,0.0073
2.797389,-33.91653,0.0079
-2.797389,-33.91653,0.0075
-8.392165,-33.91653,0.0069
-13.98694,-33.91653,0.0067
-19.58172,-33.91653,0.0068
-25.1765,-33.91653,0.0078
-30.77127,-33.91653,0.006
-36.36605,-33.91653,0.0061
-41.96083,-33.91653,0.0059
-47.5556,-33.91653,0.0034
-53.15038,-33.91653,0.0058
-58.74516,-33.91653,0.0012
-55.94777,-29.07131,0.0199
-50.35299,-29.07131,0.0065
-44.75822,-29.07131,0.0062
-39.16344,-29.07131,0.0091
-33.56866,-29.07131,0.0066
-27.97388,-29.07131,0.0068
-22.37911,-29.07131,0.008
-16.78433,-29.07131,0.0071
-11.18955,-29.07131,0.0074
-5.594777,-29.07131,0.0066
1.24345e-14,-29.07131,0.007
5.594777,-29.07131,0.0066
11.18955,-29.07131,0.0072
16.78433,-29.07131,0.0069
22.37911,-29.07131,0.0072
27.97388,-29.07131,0.0072
33.56866,-29.07131,0.0067
39.16344,-29.07131,0.0086
44.75822,-29.07131,0.0061
50.35299,-29.07131,0.0053
55.94777,-29.07131,0.0173
58.74516,-24.2261,0.003
53.15038,-24.2261,0.0115
47.5556,-24.2261,0.0049
41.96083,-24.2261,0.0087
36.36605,-24.2261,0.0076
30.77127,-24.2261,0.0066
25.1765,-24.2261,0.0079
19.58172,-24.2261,0.0078
13.98694,-24.2261,0.0085
8.392165,-24.2261,0.0079
2.797389,-24.2261,0.0077
-2.797389,-24.2261,0.0076
-8.392165,-24.2261,0.0083
-13.98694,-24.2261,0.0084
-19.58172,-24.2261,0.0082
-25.1765,-24.2261,0.008
-30.77127,-24.2261,0.007
-36.36605,-24.2261,0.0092
-41.96083,-24.2261,0.0086
-47.5556,-24.2261,0.0036
-53.15038,-24.2261,0.0089
-58.74516,-24.2261,0.0027
-55.94777,-19.38088,0.0162
-50.35299,-19.38088,0.0048
-44.75822,-19.38088,0.0057
-39.16344,-19.38088,0.009
-33.56866,-19.38088,0.007
-27.97388,-19.38088,0.0067
-22.37911,-19.38088,0.0071
-16.78433,-19.38088,0.0065
-11.18955,-19.38088,0.0078
-5.594777,-19.38088,0.0078
1.24345e-14,-19.38088,0.0074
5.594777,-19.38088,0.0075
11.18955,-19.38088,0.0081
16.78433,-19.38088,0.0073
22.37911,-19.38088,0.0077
27.97388,-19.38088,0.0073
33.56866,-19.38088,0.0062
39.16344,-19.38088,0.0076
44.75822,-19.38088,0.0057
50.35299,-19.38088,0.0051
55.94777,-19.38088,0.0161
58.74516,-14.53566,0.0032
53.15038,-14.53566,0.0123
47.5556,-14.53566,0.0043
41.96083,-14.53566,0.0085
36.36605,-14.53566,0.0078
30.77127,-14.53566,0.0067
25.1765,-14.53566,0.0079
19.58172,-14.53566,0.0068
13.98694,-14.53566,0.0071
8.392165,-14.53566,0.0075
2.797389,-14.53566,0.0072
-2.797389,-14.53566,0.0072
-8.392165,-14.53566,0.0078
-13.98694,-14.53566,0.0068
-19.58172,-14.53566,0.0071
-25.1765,-14.53566,0.0076
-30.77127,-14.53566,0.0064
-36.36605,-14.53566,0.0079
-41.96083,-14.53566,0.009
-47.5556,-14.53566,0.0044
-53.15038,-14.53566,0.0132
-58.74516,-14.53566,0.0035
-55.94777,-9.690438,0.0162
-50.35299,-9.690438,0.0047
-44.75822,-9.690438,0.0066
-39.16344,-9.690438,0.0091
-33.56866,-9.690438,0.0064
-27.97388,-9.690438,0.007
-22.37911,-9.690438,0.009
-16.78433,-9.690438,0.0079
-11.18955,-9.690438,0.008
-5.594777,-9.690438,0.0075
1.24345e-14,-9.690438,0.0078
5.594777,-9.690438,0.0077
11.18955,-9.690438,0.008
16.78433,-9.690438,0.0074
22.37911,-9.690438,0.0079
27.97388,-9.690438,0.0073
33.56866,-9.690438,0.007
39.16344,-9.690438,0.0094
44.75822,-9.690438,0.0064
50.35299,-9.690438,0.0051
55.94777,-9.690438,0.0158
58.74516,-4.845219,0.0029
53.15038,-4.845219,0.0104
47.5556,-4.845219,0.0038
41.96083,-4.845219,0.0081
36.36605,-4.845219,0.0076
30.77127,-4.845219,0.0061
25.1765,-4.845219,0.0078
19.58172,-4.845219,0.0076
13.98694,-4.845219,0.0074
8.392165,-4.845219,0.0072
2.797389,-4.845219,0.0078
-2.797389,-4.845219,0.0074
-8.392165,-4.845219,0.0072
-13.98694,-4.845219,0.0074
-19.58172,-4.845219,0.0082
-25.1765,-4.845219,0.008
-30.77127,-4.845219,0.0058
-36.36605,-4.845219,0.0074
-41.96083,-4.845219,0.0086
-47.5556,-4.845219,0.004
-53.15038,-4.845219,0.0111
-58.74516,-4.845219,0.0031
-55.94777,2.131628e-14,0.0168
-50.35299,2.131628e-14,0.0053
-44.75822,2.131628e-14,0.0067
-39.16344,2.131628e-14,0.01
-33.56866,2.131628e-14,0.0069
-27.97388,2.131628e-14,0.007
-22.37911,2.131628e-14,0.0085
-16.78433,2.131628e-14,0.0073
-11.18955,2.131628e-14,0.0075
-5.594777,2.131628e-14,0.0072
1.24345e-14,2.131628e-14,0.0078
5.594777,2.131628e-14,0.007
11.18955,2.131628e-14,0.0069
16.78433,2.131628e-14,0.0072
22.37911,2.131628e-14,0.0081
27.97388,2.131628e-14,0.0072
33.56866,2.131628e-14,0.0068
39.16344,2.131628e-14,0.0094
44.75822,2.131628e-14,0.006
50.35299,2.131628e-14,0.005
55.94777,2.131628e-14,0.0159
58.74516,4.845219,0.0029
53.15038,4.845219,0.0107
47.5556,4.845219,0.0038
41.96083,4.845219,0.0081
36.36605,4.845219,0.0076
30.77127,4.845219,0.0061
25.1765,4.845219,0.0076
19.58172,4.845219,0.0073
13.98694,4.845219,0.007
8.392165,4.845219,0.0065
2.797389,4.845219,0.007
-2.797389,4.845219,0.007
-8.392165,4.845219,0.0072
-13.98694,4.845219,0.0072
-19.58172,4.845219,0.0078
-25.1765,4.845219,0.0076
-30.77127,4.845219,0.0057
-36.36605,4.845219,0.0073
-41.96083,4.845219,0.0086
-47.5556,4.845219,0.0039
-53.15038,4.845219,0.0108
-58.74516,4.845219,0.003
-55.94777,9.690438,0.0167
-50.35299,9.690438,0.0051
-44.75822,9.690438,0.0066
-39.16344,9.690438,0.0088
-33.56866,9.690438,0.0061
-27.97388,9.690438,0.0068
-22.37911,9.690438,0.0088
-16.78433,9.690438,0.0077
-11.18955,9.690438,0.008
-5.594777,9.690438,0.0074
1.24345e-14,9.690438,0.0073
5.594777,9.690438,0.0071
11.18955,9.690438,0.0077
16.78433,9.690438,0.0074
22.37911,9.690438,0.0078
27.97388,9.690438,0.0072
33.56866,9.690438,0.0069
39.16344,9.690438,0.0091
44.75822,9.690438,0.0063
50.35299,9.690438,0.0052
55.94777,9.690438,0.0161
58.74516,14.53566,0.0032
53.15038,14.53566,0.0123
47.5556,14.53566,0.0043
41.96083,14.53566,0.0085
36.36605,14.53566,0.0078
30.77127,14.53566,0.0066
25.1765,14.53566,0.0076
19.58172,14.53566,0.0068
13.98694,14.53566,0.0073
8.392165,14.53566,0.0074
2.797389,14.53566,0.007
-2.797389,14.53566,0.007
-8.392165,14.53566,0.0078
-13.98694,14.53566,0.0068
-19.58172,14.53566,0.0071
-25.1765,14.53566,0.0077
-30.77127,14.53566,0.0063
-36.36605,14.53566,0.0079
-41.96083,14.53566,0.009
-47.5556,14.53566,0.0045
-53.15038,14.53566,0.0126
-58.74516,14.53566,0.0034
-55.94777,19.38088,0.0162
-50.35299,19.38088,0.0045
-44.75822,19.38088,0.0054
-39.16344,19.38088,0.0085
-33.56866,19.38088,0.0069
-27.97388,19.38088,0.0068
-22.37911,19.38088,0.0075
-16.78433,19.38088,0.0064
-11.18955,19.38088,0.0078
-5.594777,19.38088,0.0077
1.24345e-14,19.38088,0.0073
5.594777,19.38088,0.0076
11.18955,19.38088,0.0082
16.78433,19.38088,0.0071
22.37911,19.38088,0.0074
27.97388,19.38088,0.0072
33.56866,19.38088,0.0065
39.16344,19.38088,0.008
44.75822,19.38088,0.0054
50.35299,19.38088,0.0047
55.94777,19.38088,0.016
58.74516,24.2261,0.003
53.15038,24.2261,0.0113
47.5556,24.2261,0.0046
41.96083,24.2261,0.0088
36.36605,24.2261,0.0084
30.77127,24.2261,0.007
25.1765,24.2261,0.0079
19.58172,24.2261,0.0076
13.98694,24.2261,0.0084
8.392165,24.2261,0.0081
2.797389,24.2261,0.0077
-2.797389,24.2261,0.0076
-8.392165,24.2261,0.0083
-13.98694,24.2261,0.0081
-19.58172,24.2261,0.0085
-25.1765,24.2261,0.0082
-30.77127,24.2261,0.0069
-36.36605,24.2261,0.0089
-41.96083,24.2261,0.009
-47.5556,24.2261,0.0042
-53.15038,24.2261,0.0108
-58.74516,24.2261,0.0031
-55.94777,29.07131,0.0174
-50.35299,29.07131,0.0052
-44.75822,29.07131,0.0063
-39.16344,29.07131,0.0091
-33.56866,29.07131,0.0069
-27.97388,29.07131,0.0068
-22.37911,29.07131,0.0077
-16.78433,29.07131,0.007
-11.18955,29.07131,0.0074
-5.594777,29.07131,0.0068
1.24345e-14,29.07131,0.007
5.594777,29.07131,0.0067
11.18955,29.07131,0.0072
16.78433,29.07131,0.0068
22.37911,29.07131,0.0071
27.97388,29.07131,0.0072
33.56866,29.07131,0.0068
39.16344,29.07131,0.0087
44.75822,29.07131,0.0061
50.35299,29.07131,0.0053
55.94777,29.07131,0.0172
58.74516,33.91653,0.0023
53.15038,33.91653,0.0094
47.5556,33.91653,0.0035
41.96083,33.91653,0.0067
36.36605,33.91653,0.006
30.77127,33.91653,0.0069
25.1765,33.91653,0.0086
19.58172,33.91653,0.0068
13.98694,33.91653,0.0077
8.392165,33.91653,0.0074
2.797389,33.91653,0.0079
-2.797389,33.91653,0.0077
-8.392165,33.91653,0.0073
-13.98694,33.91653,0.007
-19.58172,33.91653,0.0065
-25.1765,33.91653,0.0077
-30.77127,33.91653,0.0065
-36.36605,33.91653,0.0063
-41.96083,33.91653,0.007
-47.5556,33.91653,0.0035
-53.15038,33.91653,0.0094
-58.74516,33.91653,0.0025
-55.94777,38.76175,0.0172
-50.35299,38.76175,0.0062
-44.75822,38.76175,0.0084
-39.16344,38.76175,0.0083
-33.56866,38.76175,0.0061
-27.97388,38.76175,0.008
-22.37911,38.76175,0.0084
-16.78433,38.76175,0.0076
-11.18955,38.76175,0.0078
-5.594777,38.76175,0.0072
1.24345e-14,38.76175,0.0083
5.594777,38.76175,0.0072
11.18955,38.76175,0.0079
16.78433,38.76175,0.0071
22.37911,38.76175,0.0077
27.97388,38.76175,0.0085
33.56866,38.76175,0.0059
39.16344,38.76175,0.008
44.75822,38.76175,0.0089
50.35299,38.76175,0.0068
55.94777,38.76175,0.0174
58.74516,43.60697,0.0043
53.15038,43.60697,0.012
47.5556,43.60697,0.0039
41.96083,43.60697,0.0141
36.36605,43.60697,0.0079
30.77127,43.60697,0.0075
25.1765,43.60697,0.0086
19.58172,43.60697,0.007
13.98694,43.60697,0.0084
8.392165,43.60697,0.0072
2.797389,43.60697,0.0077
-2.797389,43.60697,0.0079
-8.392165,43.60697,0.0077
-13.98694,43.60697,0.0088
-19.58172,43.60697,0.0085
-25.1765,43.60697,0.0088
-30.77127,43.60697,0.0072
-36.36605,43.60697,0.0086
-41.96083,43.60697,0.0137
-47.5556,43.60697,0.0036
-53.15038,43.60697,0.0117
-58.74516,43.60697,0.0043
-55.94777,48.45219,0.0137
