startHU	endHU	H 		C		N		O		Na		Mg		P		S 		Cl		Ar		K		Ca
-1000	-950	0		0		75.5	23.2	0		0		0		0		0		1.3		0		0
-950	-120	10.3	10.5	3.1		74.9	0.2		0		0.2		0.3		0.3		0		0.2		0
-120	-83		11.6	68.1	0.2		19.8	0.1		0		0		0.1		0.1		0		0		0	
-82		-53		11.3	56.7	0.9		30.8	0.1		0		0		0.1		0.1		0		0		0	
-52		-23		11.0	45.8	1.5		41.1	0.1		0		0.1		0.2		0.2		0		0		0	
-22 	7		10.8	35.6	2.2		50.9	0		0		0.1		0.2		0.2		0		0		0	
8		18		10.6	28.4	2.6		57.8	0		0		0.1		0.2		0.2		0		0.1		0	
19		80		10.3	13.4	3.0		72.3	0.2		0		0.2		0.2		0.2		0		0.2		0	
80		120		9.4		20.7	6.2		62.2	0.6		0		0		0.6		0.3		0		0		0	
120		200		9.5		45.5	2.5		35.5	0.1		0		2.1		0.1		0.1		0		0.1		4.5
200		300		8.9		42.3	2.7		36.3	0.1		0		3.0		0.1		0.1		0		0.1		6.4
300		400		8.2		39.1	2.9		37.2	0.1		0		3.9		0.1		0.1		0		0.1		8.3
400		500		7.6		36.1	3.0		38.0	0.1		0.1		4.7		0.2		0.1		0		0		10.1
500		600		7.1		33.5	3.2		38.7	0.1		0.1		5.4		0.2		0		0		0		11.7
600		700		6.6		31.0	3.3		39.4	0.1		0.1		6.1		0.2		0		0		0		13.2
700		800		6.1		28.7	3.5		40.0	0.1		0.1		6.7		0.2		0		0		0		14.6
800		900		5.6		26.5	3.6		40.5	0.1		0.2		7.3		0.3		0		0		0		15.9	
900		1000	5.2		24.6	3.7		41.1	0.1		0.2		7.8		0.3		0		0		0		17.0	
1000	1100	4.9		22.7	3.8		41.6	0.1		0.2		8.3		0.3		0		0		0		18.1
1100	1200	4.5		21.0	3.9		42.0	0.1		0.2		8.8		0.3		0		0		0		19.2
1200	1300	4.2		19.4	4.0		42.5	0.1		0.2		9.2		0.3		0		0		0		20.1
1300	1400	3.9		17.9	4.1		42.9	0.1		0.2		9.6		0.3		0		0		0		21.0
1400	1500	3.6		16.5	4.2		43.2	0.1		0.2		10.0	0.3		0		0		0		21.9	
1500	1600	3.4		15.5	4.2		43.5	0.1		0.2		10.3	0.3		0		0		0		22.5
