SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-56.12895,-56.28422,0.0027
-50.22064,-56.28422,0.002
-44.31233,-56.28422,0.0022
-38.40402,-56.28422,0.0022
-32.49571,-56.28422,0.0019
-26.5874,-56.28422,0.0023
-20.67909,-56.28422,0.002
-14.77078,-56.28422,0.0022
-8.862466,-56.28422,0.002
-2.954155,-56.28422,0.002
2.954155,-56.28422,0.002
8.862466,-56.28422,0.002
14.77078,-56.28422,0.002
20.67909,-56.28422,0.0019
26.5874,-56.28422,0.0022
32.49571,-56.28422,0.002
38.40402,-56.28422,0.0022
44.31233,-56.28422,0.0022
50.22064,-56.28422,0.0021
56.12895,-56.28422,0.0022
59.0831,-51.16747,0.0009
53.17479,-51.16747,0.003
47.26648,-51.16747,0.0008
41.35817,-51.16747,0.0026
35.44986,-51.16747,0.0015
29.54155,-51.16747,0.0023
23.63324,-51.16747,0.0022
17.72493,-51.16747,0.002
11.81662,-51.16747,0.0023
5.90831,-51.16747,0.002
5.329071e-15,-51.16747,0.0021
-5.90831,-51.16747,0.0021
-11.81662,-51.16747,0.0023
-17.72493,-51.16747,0.0019
-23.63324,-51.16747,0.0022
-29.54155,-51.16747,0.0023
-35.44986,-51.16747,0.0014
-41.35817,-51.16747,0.0027
-47.26648,-51.16747,0.0009
-53.17479,-51.16747,0.0028
-59.0831,-51.16747,0.0009
-56.12895,-46.05072,0.0027
-50.22064,-46.05072,0.0005
-44.31233,-46.05072,0.0021
-38.40402,-46.05072,0.0014
-32.49571,-46.05072,0.0011
-26.5874,-46.05072,0.002
-20.67909,-46.05072,0.0013
-14.77078,-46.05072,0.0014
-8.862466,-46.05072,0.0015
-2.954155,-46.05072,0.0014
2.954155,-46.05072,0.0014
8.862466,-46.05072,0.0015
14.77078,-46.05072,0.0015
20.67909,-46.05072,0.0013
26.5874,-46.05072,0.0019
32.49571,-46.05072,0.0012
38.40402,-46.05072,0.0015
44.31233,-46.05072,0.002
50.22064,-46.05072,0.0004
56.12895,-46.05072,0.0027
59.0831,-40.93398,0.0007
53.17479,-40.93398,0.0026
47.26648,-40.93398,0.0019
41.35817,-40.93398,0.0025
35.44986,-40.93398,0.0013
29.54155,-40.93398,0.0023
23.63324,-40.93398,0.0022
17.72493,-40.93398,0.0018
11.81662,-40.93398,0.0019
5.90831,-40.93398,0.0018
5.329071e-15,-40.93398,0.0018
-5.90831,-40.93398,0.0018
-11.81662,-40.93398,0.0019
-17.72493,-40.93398,0.0018
-23.63324,-40.93398,0.0024
-29.54155,-40.93398,0.0025
-35.44986,-40.93398,0.0012
-41.35817,-40.93398,0.0025
-47.26648,-40.93398,0.002
-53.17479,-40.93398,0.0028
-59.0831,-40.93398,0.0008
-56.12895,-35.81723,0.003
